"id","latitude","longitude","phylum","order","family","genus","name","eventDate"
9442499,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:12:36"
4904724,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:56:24"
4317867,43.0719013214111,-69.1746597290039,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-11 12:58:48"
5130237,43.0458450317383,-69.4699935913086,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 04:04:48"
6261839,43.1973304748535,-69.5464172363281,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:11:24"
580934,43.0512104034424,-69.9652252197266,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:46:48"
2160051,43.2475795745849,-69.5817489624023,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 03:15:36"
8633557,43.0799503326416,-69.4601974487305,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 06:06:36"
1311667,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:11:24"
4985296,43.280590057373,-69.5840835571289,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:18:00"
5634542,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:08:24"
5150295,43.0458450317383,-69.4699935913086,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 03:41:24"
6484213,43.1452503204346,-69.5197448730469,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:14:24"
11135687,43.1121692657471,-70.0809211730957,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 05:39:00"
438460,43.2354145050049,-69.5476722717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:55:48"
9422171,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:31:12"
1311671,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:03:36"
10107185,43.0799503326416,-69.4601974487305,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 06:15:00"
7342460,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:30:36"
5089791,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:57:36"
8189310,43.048110961914,-69.4539222717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:30:36"
5533854,43.2412509918212,-69.5870819091797,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 09:55:12"
665526,43.248249053955,-69.5838317871094,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 04:10:48"
